restaurant_name,restaurant_url,menu_type,name,description,price
Amigos Cantina,https://amigoscantina.net/,Menu,DON JULIO REPOSADO,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,DON ABRAHAM REPOSADO*,,$15
Amigos Cantina,https://amigoscantina.net/,Menu,EL ULTIMO REPOSADO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,ESPOLON REPOSADO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,GRAN CENTENARIO REPOSADO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,HERRADURA REPOSADO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,HORNITOS REPOSADO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,HUSSONG'S REPOSADO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,JAJA REPOSADO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,KAH REPOSADO,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,LOBOS REPOSADO,,$13
Amigos Cantina,https://amigoscantina.net/,Menu,LOS ARANGO REPOSADO,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,MAESTRO DOBEL REPOSADO,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,MILAGRO REPOSADO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,PATRON REPOSADO,,$13
Amigos Cantina,https://amigoscantina.net/,Menu,PELIGROSO REPOSADO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,ROOSTER ROJO REPOSADO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,1800 ANEJO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,CASAMIGOS ANEJO,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,CAMPO AZUL ANEJO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,CORAZON ANEJO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,DESTILADOR ANEJO,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,DON EDUARDO ANEJO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,DON FELIX ANEJO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,DON JULIO ANEJO,,$15
Amigos Cantina,https://amigoscantina.net/,Menu,EL MAYOR ANEJO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,EL TESORO ANEJO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,EL ULTIMO ANEJO,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,HERRADURA ANEJO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,HUSSONG'S PLATINUM,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,KAH ANEJO,,$15
Amigos Cantina,https://amigoscantina.net/,Menu,LOS AZULEJOS ANEJO,,$18
Amigos Cantina,https://amigoscantina.net/,Menu,MAESTRO DOBEL ANEJO,,$15
Amigos Cantina,https://amigoscantina.net/,Menu,MILAGRO ANEJO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,OCHO ANEJO,,$13
Amigos Cantina,https://amigoscantina.net/,Menu,PATRON ANEJO,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,PELIGROSO ANEJO,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,PROSPERO ANEJO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,QUI PLATINUM,,$13
Amigos Cantina,https://amigoscantina.net/,Menu,REVOLUCION ANEJO,,$13
Amigos Cantina,https://amigoscantina.net/,Menu,RIAZUL ANEJO,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,SAUZA ANEJO,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,TIERRAS ANEJO*,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,BRUXO MEZCAL,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,CASAMIGOS MEZCAL,,$13
Amigos Cantina,https://amigoscantina.net/,Menu,DOS ARMADILLO MEZCAL,,$15
Amigos Cantina,https://amigoscantina.net/,Menu,EL BUHO MEZCAL,,$16
Amigos Cantina,https://amigoscantina.net/,Menu,EL BURRO MEZCAL,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,LOS VECINOS MEZCAL,,$10
Amigos Cantina,https://amigoscantina.net/,Menu,MONTE ALBAN MEXCAL,,$9
Amigos Cantina,https://amigoscantina.net/,Menu,MONTE LOBOS MEZCAL,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,PALOMA MEZCAL,,$11
Amigos Cantina,https://amigoscantina.net/,Menu,SANTO MEZQUILA,,$14
Amigos Cantina,https://amigoscantina.net/,Menu,WAHAKA MEZCAL,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,YUU BAL MEXCAL,,$12
Amigos Cantina,https://amigoscantina.net/,Menu,JARRITOS SODA,"fruit punch
grapefruit
lime
mandarin
mango
passionfruit
pineapple
strawberry",$4.5
Amigos Cantina,https://amigoscantina.net/,Menu,FOUNTAIN SODA,"pepsi, diet, twist,
root beer, ginger ale,
iced tea",$3.5
Amigos Cantina,https://amigoscantina.net/,Menu,MEXICAN COKE,,$4
Amigos Cantina,https://amigoscantina.net/,Menu,COKE ZERO,,$3.5
Amigos Cantina,https://amigoscantina.net/,Menu,SM SARATOGA WATER,sparkling or flat,$3.5
Amigos Cantina,https://amigoscantina.net/,Menu,LG SARATOGA WATER,sparkling or flat,$5.5
Amigos Cantina,https://amigoscantina.net/,Menu,AZTEC LEMONADE,"house-made lemonade
with cranberry & club",$3.5
