restaurant_name,restaurant_url,menu_type,name,description,price
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfarclas 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfarclas 17 Year,,$19
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfarclas 21 Year,,$28
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfarclas 105,,$19
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfiddich 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfiddich Solera 15 Year,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfiddich 18 Year,,$25
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfiddich 21 Year,,$38
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenfiddich Project XX,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenlivet Founders Reserve,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenlivet 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenlivet 15 Year,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenlivet Nadurra 16 Year,,$17
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenlivet 18 Year,,$25
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glen Grant 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glen Grant 15 Year,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Macallan 12 Year Sherry,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Macallan 12 Year Double Cask,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Macallan 18 Year,,$54
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Macallan Classic Cut,,$20
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Macallan The Harmony Coll.,,$30
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Mortlach 12 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Mortlach 16 Year,,$20
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Mortlach 20 Year,,$40
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Royal Brackla 16,,$22
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Stronachie 10,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tamdhu 12,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomintoul 10 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomintoul 12 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomintoul 14 Year,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomintoul 16 Year,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomintoul Cigar Malt,,$19
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tullibardine 225,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Aberfeldy 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Aberfeldy 18 Year,,$18
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Ardmore Traditional Cask,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Balblair 12,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Clynelish 14 Year,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Dalmore 12 Year,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Dalmore Port Wood,,$16
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Dalmore Cigar Malt,,$27
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Dalmore 15 Year,,$19
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Dalmore 18 Year,,$43
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Dalwhinnie 15 Year,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Deanston Stout Finish,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Deanston Virgin Oak 15 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glencadam 13 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glengoyne 10 Year,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glengoyne 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glengoyne Cask Strength,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glengoyne 18 Year,,$30
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenmorangie 10 Year,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenmorangie 15 Year,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenmorangie 18 Year,,$22
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenmorangie Nectar D'Or,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenmorangie Lasanta,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenmorangie Quinta Ruban,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenmorangie Allta,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenmorangie Tale of Forest,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenmorangie Signet,,$37
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenturret 27 Year,,$31
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Loch Lomond 12 Year,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Loch Lomond 18 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Oban 14 Year,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Oban Distillers Edition,,$27
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Oban Little Bay,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Oban 18 Year,,$25
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomatin 12 Year,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomatin 12 Year French Oak,,$9
